(1, 0)
(1, -1)
(3, -1)
(4, 0)
(6, -1)
(6, 0)
(11, -1)
(12, 0)
(13, 0)
(14, -1)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(19, -1)
(21, -1)
(22, 0)
(23, 0)
(24, -1)
(26, -1)
(26, 0)
(27, 0)
(28, 0)
(29, 0)
(31, -1)
(32, 0)
(33, 0)
(34, -1)
(36, -1)
(36, 0)
(39, 0)
(39, -1)
(39, -2)
(39, -3)
(36, -3)
(36, -2)
(34, -3)
(33, -3)
(31, -2)
(31, -3)
(28, -2)
(27, -2)
(26, -3)
(26, -2)
(24, -3)
(24, -2)
(23, -3)
(22, -3)
(21, -2)
(21, -3)
(18, -2)
(17, -3)
(11, -2)
(11, -3)
(6, -3)
(6, -2)
(3, -3)
(2, -2)
(1, -2)
(1, -3)
(1, -4)
(1, -5)
(3, -4)
(4, -5)
(6, -5)
(6, -4)
(7, -5)
(8, -5)
(9, -5)
(11, -4)
(12, -5)
(13, -5)
(14, -4)
(16, -5)
(16, -4)
(17, -5)
(18, -5)
(19, -5)
(21, -4)
(21, -5)
(24, -5)
(24, -4)
(26, -5)
(26, -4)
(27, -5)
(28, -5)
(29, -5)
(31, -4)
(32, -5)
(33, -5)
(34, -5)
(34, -4)
(36, -4)
(37, -5)
(38, -5)
(39, -4)
